t,x,y,z,heading,roll,task,state
1.878,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
1.895,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
1.910,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
1.927,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
1.942,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
1.959,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
1.975,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
1.991,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.007,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.023,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.038,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.087,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.102,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.119,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.134,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.151,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.168,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.184,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.199,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.216,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.232,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.248,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.263,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.280,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.295,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.312,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.327,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.344,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.359,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.376,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.393,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.409,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.424,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.441,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.457,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.473,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.488,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.505,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.521,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.536,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.553,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.601,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.616,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.633,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.648,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.665,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.680,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.697,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.712,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.729,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.745,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.761,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.776,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.793,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.809,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.825,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.841,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.858,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.874,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.890,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.905,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.922,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.938,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.954,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.969,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
2.986,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.001,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.017,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.034,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.050,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.065,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.112,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.128,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.144,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.158,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.175,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.190,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.207,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.222,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.239,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.255,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.271,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.286,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.303,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.318,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.334,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.351,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.367,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.382,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.399,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.415,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.431,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.446,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.463,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.479,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.495,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.510,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.527,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.543,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.559,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.574,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.623,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.638,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.655,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.671,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.687,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.702,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.719,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.735,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.751,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.766,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.783,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.799,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.815,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.830,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.847,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.863,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.878,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.895,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.911,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.926,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.943,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.959,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.975,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
3.990,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.007,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.022,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.039,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.056,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.072,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.087,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.135,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.150,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.167,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
4.182,7.0000,7.0832,0.0000,0.00,0.00,WAITING,Press Start to begin
